,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,11402.475400170699,12609.139698949353,0,20,0.001,150,75
1,10674.267540222958,10430.158287311422,0,20,0.001,150,75
2,10394.803489140362,10343.212638065732,0,20,0.001,150,75
3,10267.07034010766,10194.510203394397,0,20,0.001,150,75
4,10196.515133209301,10159.15388436153,0,20,0.001,150,75
5,10154.555958388237,10150.320767106681,0,20,0.001,150,75
6,10121.955935366255,10101.451441271553,0,20,0.001,150,75
7,10104.288019024018,10080.437508418643,0,20,0.001,150,75
8,10086.16806888626,10088.577358903556,0,20,0.001,150,75
9,10070.460915507458,10050.115453259697,0,20,0.001,150,75
10,10060.185528157943,10052.624764278018,0,20,0.001,150,75
11,10046.39675717612,10030.705650592672,0,20,0.001,150,75
12,10037.696919827355,10020.224937702047,0,20,0.001,150,75
13,10030.88689141486,10013.404431573275,0,20,0.001,150,75
14,10021.979359296389,10009.115680563038,0,20,0.001,150,75
15,10016.621102172676,10004.194058122306,0,20,0.001,150,75
16,10011.341760844663,10020.007829337284,0,20,0.001,150,75
17,10006.870925296478,9990.526005185884,0,20,0.001,150,75
18,10001.56236430133,9989.921875,0,20,0.001,150,75
19,9997.513950759163,9991.411115975216,0,20,0.001,150,75
20,9993.785092144077,9982.405475484913,0,20,0.001,150,75
21,9989.950247252336,9975.254066204203,0,20,0.001,150,75
22,9986.778576736195,9979.085314520475,0,20,0.001,150,75
23,9983.454246151772,9977.44148201778,0,20,0.001,150,75
24,9980.452126912884,9979.552128232759,0,20,0.001,150,75
25,9978.892823786386,9975.815244477371,0,20,0.001,150,75
26,9975.555350083852,9968.537008351293,0,20,0.001,150,75
27,9974.276287172077,9966.339927936422,0,20,0.001,150,75
28,9971.990631644556,9962.109021417025,0,20,0.001,150,75
29,9969.23511292001,9979.35603279903,0,20,0.001,150,75
30,9967.589593877276,9966.219869679418,0,20,0.001,150,75
31,9967.245526155217,9954.66087183459,0,20,0.001,150,75
32,9965.761029962267,9957.350215517241,0,20,0.001,150,75
33,9963.52984247724,9952.859989560884,0,20,0.001,150,75
34,9962.117887985894,9963.688426050647,0,20,0.001,150,75
35,9961.523745395603,9957.443536166487,0,20,0.001,150,75
36,9959.404624423514,9952.111993197737,0,20,0.001,150,75
37,9959.720496769436,9948.774481411638,0,20,0.001,150,75
38,9959.037875838525,9949.3306758486,0,20,0.001,150,75
39,9957.109428343616,9950.981765220906,0,20,0.001,150,75
40,9956.353127713974,9951.860604121768,0,20,0.001,150,75
41,9954.951609854157,9948.52418675916,0,20,0.001,150,75
42,9954.249716904498,9948.048685008082,0,20,0.001,150,75
43,9954.432724810584,9946.327316810344,0,20,0.001,150,75
44,9952.37342776713,9945.80772662985,0,20,0.001,150,75
45,9952.241654531774,9943.830768453663,0,20,0.001,150,75
46,9952.51112167585,9947.2445194639,0,20,0.001,150,75
47,9950.701023542315,9943.139480064656,0,20,0.001,150,75
48,9950.858008654768,9943.398631128772,0,20,0.001,150,75
49,9950.714644413332,9949.2886836611,0,20,0.001,150,75
50,9950.23578907373,9944.228860789332,0,20,0.001,150,75
51,9950.147873180702,9940.183315934806,0,20,0.001,150,75
52,9949.920207778061,9942.636508283944,0,20,0.001,150,75
53,9949.113620964603,9942.009555158944,0,20,0.001,150,75
54,9949.01901840261,9943.17146248653,0,20,0.001,150,75
55,9948.847382980954,9942.094002559268,0,20,0.001,150,75
56,9948.373072143027,9940.2230350889,0,20,0.001,150,75
57,9948.192877878684,9938.48512425916,0,20,0.001,150,75
58,9947.66696317606,9943.136516702587,0,20,0.001,150,75
59,9947.550092462267,9942.971890153556,0,20,0.001,150,75
60,9947.080396314987,9940.832064924569,0,20,0.001,150,75
61,9946.852045868021,9941.43547110722,0,20,0.001,150,75
62,9946.762936762549,9937.440067685884,0,20,0.001,150,75
63,9946.655841968137,9939.669273639547,0,20,0.001,150,75
64,9946.151224002006,9938.597294248384,0,20,0.001,150,75
65,9946.685850559266,9942.626793170797,0,20,0.001,150,75
66,9945.654942145573,9943.651804956897,0,20,0.001,150,75
67,9946.009288340021,9940.302835398707,0,20,0.001,150,75
68,9946.120544872274,9939.502542429957,0,20,0.001,150,75
69,9946.25060362512,9935.814697265625,0,20,0.001,150,75
70,9945.742615652702,9936.799341662178,0,20,0.001,150,75
71,9944.579517549113,9941.431177599678,0,20,0.001,150,75
72,9945.993325497126,9938.51783910291,0,20,0.001,150,75
73,9946.010918127846,9941.856588429418,0,20,0.001,150,75
74,9944.495190651953,9937.81272730334,0,20,0.001,150,75
