,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs,dropout_input,dropout_hidden
0,10351.66562022715,12731.999259159482,100,100,0.001,100,200,0,0
1,10011.120135436631,10067.976276266163,100,100,0.001,100,200,0,0
2,9960.822371376378,9986.517477101293,100,100,0.001,100,200,0,0
3,9934.10634002905,9963.625942887931,100,100,0.001,100,200,0,0
4,9917.249098773658,9932.082553205819,100,100,0.001,100,200,0,0
5,9904.105180507308,9919.278623383621,100,100,0.001,100,200,0,0
6,9896.138054680014,9913.191490436422,100,100,0.001,100,200,0,0
7,9889.270459616077,9901.102842133621,100,100,0.001,100,200,0,0
8,9882.474819006049,9892.022427262931,100,100,0.001,100,200,0,0
9,9878.39596638042,9889.998484644397,100,100,0.001,100,200,0,0
10,9874.750126340141,9882.152764682112,100,100,0.001,100,200,0,0
11,9871.99071821095,9885.954791891163,100,100,0.001,100,200,0,0
12,9869.301951066123,9882.186843345906,100,100,0.001,100,200,0,0
13,9865.476654213584,9874.336981411638,100,100,0.001,100,200,0,0
14,9862.831905377785,9873.085365032328,100,100,0.001,100,200,0,0
15,9861.148431416956,9870.50015153556,100,100,0.001,100,200,0,0
16,9859.128034035099,9864.706088362069,100,100,0.001,100,200,0,0
17,9857.063598691304,9862.591712688578,100,100,0.001,100,200,0,0
18,9856.237136701904,9854.948646282328,100,100,0.001,100,200,0,0
19,9854.71722783526,9856.016146955819,100,100,0.001,100,200,0,0
20,9853.421684086008,9858.968042834053,100,100,0.001,100,200,0,0
21,9851.644603778599,9856.024582435344,100,100,0.001,100,200,0,0
22,9851.192089422617,9851.841813712284,100,100,0.001,100,200,0,0
23,9849.13362435239,9853.161873653018,100,100,0.001,100,200,0,0
24,9848.198237508235,9862.396265490303,100,100,0.001,100,200,0,0
25,9847.060948355893,9848.195447198275,100,100,0.001,100,200,0,0
26,9846.55982346071,9850.300377155172,100,100,0.001,100,200,0,0
27,9845.127588569118,9849.622508081897,100,100,0.001,100,200,0,0
28,9844.335955281205,9844.58871565194,100,100,0.001,100,200,0,0
29,9843.97329684131,9845.581728178879,100,100,0.001,100,200,0,0
30,9843.149087917765,9847.261903960129,100,100,0.001,100,200,0,0
31,9841.938295007038,9844.979357489225,100,100,0.001,100,200,0,0
32,9840.957079446423,9840.978751346982,100,100,0.001,100,200,0,0
33,9840.041183142668,9838.888469827587,100,100,0.001,100,200,0,0
34,9839.80252614773,9842.468581627156,100,100,0.001,100,200,0,0
35,9838.65966726686,9840.800865436422,100,100,0.001,100,200,0,0
36,9838.548637211008,9853.23779296875,100,100,0.001,100,200,0,0
37,9837.618492546868,9839.508603852371,100,100,0.001,100,200,0,0
38,9837.355402772371,9832.775794719828,100,100,0.001,100,200,0,0
39,9835.721803220084,9838.238045528018,100,100,0.001,100,200,0,0
40,9835.68525301719,9837.63134765625,100,100,0.001,100,200,0,0
41,9835.032278502336,9835.765911233837,100,100,0.001,100,200,0,0
42,9834.322260945735,9835.314638335129,100,100,0.001,100,200,0,0
43,9833.815970610476,9835.477959994612,100,100,0.001,100,200,0,0
44,9833.009110995898,9831.450026939656,100,100,0.001,100,200,0,0
45,9832.947808887608,9832.635186557112,100,100,0.001,100,200,0,0
46,9831.219115918484,9832.351730872844,100,100,0.001,100,200,0,0
47,9831.718308745358,9833.020928744612,100,100,0.001,100,200,0,0
48,9829.967707459871,9832.798575565732,100,100,0.001,100,200,0,0
49,9829.635043573311,9831.846107219828,100,100,0.001,100,200,0,0
50,9829.732610449359,9836.269564924569,100,100,0.001,100,200,0,0
51,9828.908577934086,9837.717857623922,100,100,0.001,100,200,0,0
52,9828.304518110624,9829.864089439656,100,100,0.001,100,200,0,0
53,9828.224643533631,9830.533590382543,100,100,0.001,100,200,0,0
54,9828.026579626108,9828.489695581897,100,100,0.001,100,200,0,0
55,9827.40451820421,9826.746396821121,100,100,0.001,100,200,0,0
56,9826.695662508984,9828.568308863147,100,100,0.001,100,200,0,0
57,9825.826001081847,9826.911301185344,100,100,0.001,100,200,0,0
58,9825.927560306362,9826.201357085129,100,100,0.001,100,200,0,0
