,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs,dropout_input,dropout_hidden
0,10783.954364069237,1736303.7241379311,100,20,0.001,200,150,0,0
1,10198.426450852749,12878.688779633621,100,20,0.001,200,150,0,0
2,10117.766867344722,10367.245992726293,100,20,0.001,200,150,0,0
3,10072.512656474604,10151.925309806034,100,20,0.001,200,150,0,0
4,10041.364927415249,10091.356815732759,100,20,0.001,200,150,0,0
5,10018.440501748173,10045.168372844828,100,20,0.001,200,150,0,0
6,9999.531524672826,10012.698477909482,100,20,0.001,200,150,0,0
7,9982.545366873053,9986.050713900862,100,20,0.001,200,150,0,0
8,9971.225436201035,9985.243837553879,100,20,0.001,200,150,0,0
9,9958.756442411355,9977.328865840518,100,20,0.001,200,150,0,0
10,9950.796528734427,9952.639513739225,100,20,0.001,200,150,0,0
11,9942.221838782492,9950.098767510775,100,20,0.001,200,150,0,0
12,9935.823066715082,9944.272696659482,100,20,0.001,200,150,0,0
13,9929.658521314987,9948.451373922413,100,20,0.001,200,150,0,0
14,9923.74717699973,9941.493736530172,100,20,0.001,200,150,0,0
15,9919.81789565989,9944.068527747844,100,20,0.001,200,150,0,0
16,9915.087634669233,9928.005421605603,100,20,0.001,200,150,0,0
17,9911.096985711398,9927.867254849138,100,20,0.001,200,150,0,0
18,9906.645224716998,9923.602673760775,100,20,0.001,200,150,0,0
19,9904.97470810748,9914.979997306034,100,20,0.001,200,150,0,0
20,9900.694307861913,9906.930933459053,100,20,0.001,200,150,0,0
21,9897.02630261365,9903.911267510775,100,20,0.001,200,150,0,0
22,9894.01389601177,9899.97720231681,100,20,0.001,200,150,0,0
23,9891.156814319298,9895.292463631466,100,20,0.001,200,150,0,0
24,9888.93090504462,9901.78549299569,100,20,0.001,200,150,0,0
25,9885.665526173934,9900.310445851293,100,20,0.001,200,150,0,0
26,9884.939304792315,9902.257509428879,100,20,0.001,200,150,0,0
27,9883.064078315914,9895.350720635775,100,20,0.001,200,150,0,0
28,9881.241767302048,9891.639143318966,100,20,0.001,200,150,0,0
29,9879.284312578611,9893.961341594828,100,20,0.001,200,150,0,0
30,9878.587665552377,9896.762156519397,100,20,0.001,200,150,0,0
31,9876.53662553905,9888.294551454741,100,20,0.001,200,150,0,0
32,9875.519489604547,9887.088833512931,100,20,0.001,200,150,0,0
33,9874.101245713793,9887.744578394397,100,20,0.001,200,150,0,0
34,9872.922071061183,9881.788186961207,100,20,0.001,200,150,0,0
35,9872.234674005002,9880.2587890625,100,20,0.001,200,150,0,0
36,9870.475150765902,9877.365503771553,100,20,0.001,200,150,0,0
37,9869.573101341639,9879.504680765087,100,20,0.001,200,150,0,0
38,9868.65885681825,9876.293844288793,100,20,0.001,200,150,0,0
39,9869.632454536266,9872.524784482759,100,20,0.001,200,150,0,0
40,9866.792373547556,9880.363483297413,100,20,0.001,200,150,0,0
41,9866.945486568638,9875.938880657328,100,20,0.001,200,150,0,0
42,9865.461055417465,9874.882644127156,100,20,0.001,200,150,0,0
43,9865.541319777192,9871.648403825431,100,20,0.001,200,150,0,0
44,9863.666829817023,9874.312971443966,100,20,0.001,200,150,0,0
45,9863.971409226013,9871.504377693966,100,20,0.001,200,150,0,0
46,9862.431708006408,9871.27377424569,100,20,0.001,200,150,0,0
47,9862.420558722897,9868.841089709053,100,20,0.001,200,150,0,0
48,9862.794587307588,9866.417227909482,100,20,0.001,200,150,0,0
49,9861.02713692651,9868.766769935344,100,20,0.001,200,150,0,0
50,9861.75843858559,9869.508384967672,100,20,0.001,200,150,0,0
51,9860.817176456936,9868.457469019397,100,20,0.001,200,150,0,0
52,9860.1940935516,9869.189958243534,100,20,0.001,200,150,0,0
53,9859.67354877291,9864.273269127156,100,20,0.001,200,150,0,0
54,9859.716577885421,9865.796639278018,100,20,0.001,200,150,0,0
