,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,10766.034085634285,12567.904818830819,100,20,0.0005,100,25
1,10194.026061631528,10250.590685614225,100,20,0.0005,100,25
2,10121.145855949779,10149.300478178879,100,20,0.0005,100,25
3,10084.54410206786,10106.312870420259,100,20,0.0005,100,25
4,10057.981410218017,10070.196070177803,100,20,0.0005,100,25
5,10037.862486242962,10057.579522494612,100,20,0.0005,100,25
6,10019.09461192052,10043.878535829741,100,20,0.0005,100,25
7,10001.082489349994,10009.948494746768,100,20,0.0005,100,25
8,9987.138150604935,9997.464102909482,100,20,0.0005,100,25
9,9975.49122169981,9983.8583984375,100,20,0.0005,100,25
10,9965.592788411146,9977.29556169181,100,20,0.0005,100,25
11,9955.149845958613,9970.174333243534,100,20,0.0005,100,25
12,9947.849784379492,9962.535055226293,100,20,0.0005,100,25
13,9941.488140404139,9959.223666487069,100,20,0.0005,100,25
14,9934.005797140782,9949.519127155172,100,20,0.0005,100,25
15,9929.544963988381,9944.606563173491,100,20,0.0005,100,25
16,9926.469384976192,9947.347100619612,100,20,0.0005,100,25
17,9920.538132262218,9933.15005387931,100,20,0.0005,100,25
18,9918.234042772221,9934.869410021553,100,20,0.0005,100,25
19,9912.265349391322,9928.407293911638,100,20,0.0005,100,25
20,9909.090480597897,9924.335819639009,100,20,0.0005,100,25
21,9906.462141006828,9920.16748046875,100,20,0.0005,100,25
22,9903.15677314177,9916.635489628232,100,20,0.0005,100,25
23,9900.721485498023,9913.759412042025,100,20,0.0005,100,25
24,9897.577784349545,9909.286705280172,100,20,0.0005,100,25
