,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs,dropout_input,dropout_hidden
0,10232.826425491136,13059.028185614225,300,100,0.01,200,200,0,0
1,9962.026082220293,10187.916217672413,300,100,0.01,200,200,0,0
2,9915.892956209571,10041.959657866379,300,100,0.01,200,200,0,0
3,9895.174268911715,9949.441608297413,300,100,0.01,200,200,0,0
4,9882.345020888237,9918.857926993534,300,100,0.01,200,200,0,0
5,9873.010657492812,9890.590281519397,300,100,0.01,200,200,0,0
6,9866.53452501722,9911.726528825431,300,100,0.01,200,200,0,0
7,9860.752742516921,9877.936489762931,300,100,0.01,200,200,0,0
8,9854.378474353887,9872.159954202587,300,100,0.01,200,200,0,0
9,9853.12453207355,9876.044787176725,300,100,0.01,200,200,0,0
10,9850.326527967029,9859.423390355603,300,100,0.01,200,200,0,0
11,9849.01673866495,9854.178609913793,300,100,0.01,200,200,0,0
12,9847.047794943399,9856.450262661638,300,100,0.01,200,200,0,0
13,9843.032553643088,9856.731984105603,300,100,0.01,200,200,0,0
14,9842.27244643178,9869.815968480603,300,100,0.01,200,200,0,0
15,9841.445249329929,9850.204000538793,300,100,0.01,200,200,0,0
16,9839.628954446423,9864.650121228447,300,100,0.01,200,200,0,0
17,9838.623076354366,9857.97036637931,300,100,0.01,200,200,0,0
18,9837.780037134644,9844.173356681034,300,100,0.01,200,200,0,0
19,9836.153250591458,9842.892275053879,300,100,0.01,200,200,0,0
20,9835.685031687979,9842.869544719828,300,100,0.01,200,200,0,0
21,9835.16747836308,9842.296706627156,300,100,0.01,200,200,0,0
22,9835.341711712386,9844.449420797413,300,100,0.01,200,200,0,0
23,9834.05825497125,9841.220905172413,300,100,0.01,200,200,0,0
24,9833.449281920071,9841.450599407328,300,100,0.01,200,200,0,0
25,9834.290580453402,9851.426151670259,300,100,0.01,200,200,0,0
26,9832.649673293752,9840.00131330819,300,100,0.01,200,200,0,0
27,9831.55577074973,9841.519733297413,300,100,0.01,200,200,0,0
28,9832.047939532673,9844.228448275862,300,100,0.01,200,200,0,0
29,9831.005471463974,9845.839810075431,300,100,0.01,200,200,0,0
30,9830.113984543454,9835.716897898707,300,100,0.01,200,200,0,0
31,9830.550091058487,9844.836947737069,300,100,0.01,200,200,0,0
32,9829.411371922915,9844.398942618534,300,100,0.01,200,200,0,0
33,9828.434312952953,9838.334657866379,300,100,0.01,200,200,0,0
34,9828.47768926689,9831.732859644397,300,100,0.01,200,200,0,0
35,9828.803004836487,9837.54360856681,300,100,0.01,200,200,0,0
36,9828.311642758745,9840.553172144397,300,100,0.01,200,200,0,0
37,9829.126677516322,9834.599878771553,300,100,0.01,200,200,0,0
38,9827.521199875719,9843.044551454741,300,100,0.01,200,200,0,0
39,9829.069758007157,9834.781351023707,300,100,0.01,200,200,0,0
40,9829.148013090711,9833.942483836207,300,100,0.01,200,200,0,0
41,9826.615469274078,9833.037681842672,300,100,0.01,200,200,0,0
42,9827.448439184534,9840.026333512931,300,100,0.01,200,200,0,0
43,9827.574902390543,9840.833176185344,300,100,0.01,200,200,0,0
44,9827.089016923965,9831.155138739225,300,100,0.01,200,200,0,0
45,9826.45544731897,9831.794080010775,300,100,0.01,200,200,0,0
